User Content,Assistant Content
"hello. i'm looking for a restaurant with good reviews that's in baltimore, maryland near john hopkins university. hello, i'm looking for a restaurant with good reviews that's in baltimore, maryland near john hopkins university.","how can i help you? ok, sounds good what were you in the mood for? ok, sounds good. what were you in the mood for?"
something kid-friendly.,any preference for cuisine?
mexican.,"okay, i found a few places that match."
okay. what are they?,how about the dizz or baja fresh or chipotle?
do they have a kid's menu there?,"yes, all 3 do."
"so, in chipotle is there organic?","yes, they have organic options."
okay. which one has the best reviews?,chipotle has the best reviews.
but what are the review rating?,4.1 out of 5 stars with 161 reviews.
"okay, i'd like to go there. where's that located?","located at 3201 st paul st, baltimore, md 21218."
"okay, thank you.",thank you.
i want to get dinner tonight.,"hi, how can i help you? i can help you with that. would you like to order in, eat out or cook at home?"
i would like to cook at home.,"okay, which sounds good to use salmon fillets, and easy garlic chicken or a greek chicken pasta?"
greek chicken pasta sounds good.,i will send you that recipe to email. enjoy your dinner.
okay. thank you.,see you later. bye.
hello.,"hi, how can i help you?"
"i'm planning a pretty special dinner out at seasons in davis, california and i just had some questions about that restaurant. first of, are they open for dinner on sundays?","yep, they're open for dinner on sundays at 5 pm and close at 9 pm."
could you tell me about the atmosphere at seasons?,seasons is a relaxed classy eatery offering a rotating menu of locally-sourced american food and craft cocktails.
do they have any vegetarian options?,"yes, they do have a few vegetarian options. the most popular being there vegan spaghetti."
"all right, and last question, what is the weather going to be like at the seasons in davis, california?","weather is going to be great this weekend in davis, california. it should be a sunny 61 degree day with 0% chance of rain."
"sounds great, thank you very much.",you are welcome.
i'm looking for a place to have dinner tonight.,"hi, how can i help you? i see that you are in austin texas? is that correct?"
"yep, exactly where i'm at. i'm looking for an authentic mexican restaurant, please.","okay, i will do that for you."
thank you so much.,do you want a special kind of mexican?
i want authentic. i want a place that's known for their burritos and tacos.,"okay, there is the place called taqueria los altos, if you've never heard of it i could tell you more."
you know what? i have changed my mind. can you find me an italian restaurant instead?,"oh great, you changed your mind. of course, i can find you a italian restaurant, let me look into that for you."
thank you.,so for italian restaurants it looks like there is a handful of restaurants available ranging from 4 stars to 4.4 stars.
"great! tell me the highest rating, please.","my pleasure, so the highest rated one is called patrizi's."
"oh, nice. tell me more, please.",this food truck outside the vortex theater dishes up old-school italian standards & housemade pasta.
"oh, and what's the price range of the dishes?",the price range is relatively non expensive.
"nice. and what are the hours, what time are they open till, and do they have a full bar?","they open at 5 and close at 11, they do have a full bar."
nice. do i have to make reservations or can i walk in?,i can make reservations for you but of course if you would like to walk in you can do that too.
"yeah, make two reservations for two people, please, at 8:30 p.m. for tonight.","you got it sir, you are the best and you have a reservation at patrice's italian restaurant for 2 tonight at 8:30 p.m."
thank you so much. you're the best.,you are welcome and bye.
yeah i'd like help finding a restaurant.,"hello, how can i help you? ok where are you currently?"
"i'm in chico, california.",what did you feel like eating in chico?
i'm going to have a late lunch.,"ok, a late lunch in chico, not too expensive."
something not too cheap but not too expensive what kind of good restaurants do they have please search it.,"there are bars with burgers, there is italian restaurant with pizza and chinese restaurants."
chinese sounds good is there a limit to cash.,"chinese in chico, sounds great!"
sit down place.,i can find somewhere like that.
like a sit-down restaurant. the restaurants come with ratings of some kind.,"let me get a rating for you. just one moment. i have found peking. the traditional menu includes chow mein variations, clay pots & family dinners at this humble spot. it's a 3.9 stars."
are they open are they open at 11 and noon?,they are open 11 am to 9 pm.
traffic that sounds good i think i'm going to there.,ok excellent! do you need any further assistance?
that's it. thank you.,ok goodbye.
i'm hungry.,hi. how can i help you? what would you like to eat?
"a slice of pizza, but not a chain like domino's.","okay, where are you right now?"
"downtown davis, cali.","okay. please wait a moment. i've found a couple of options for you. the first place is blondies, a new york style pizzeria, italian restaurant, and sports bar, that serves mega slices of pizza. the second is earth crisis blondie's new york style pizzeria & restaurant italian springs slices of pizza new york style."
"no, that is all i needed know. thank you.","the third is uncle vito’s, a new york style pizzeria, with pizza available by the slice, that also serves beer. need more information? okay, enjoy. until next time. bye."
hi. would you like to help in eating a dinner tonight?,"hi. how can i help you? sure. i can help you with that. i see you are in laguna beach, california. is there a particular type of food or restaurant you’re looking for?"
i like thai food.,do you have a price limit?
affordable.,what type of atmosphere are you looking for?
casual.,do you prefer ratings and reviews?
"no, i just want an affordable place in laguna beach.",i found a place for you. royal thai cuisine.
that sound perfect.,do you want to know the address?
yes.,"1750 s coast hwy laguna beach, ca 92651."
thank you.,is there anything else i can help you with?
no. thank you.,enjoy your meal.
